gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_00043,0,0,0,312.4347612,19.03325865,2.918618154,3.999234498,2.006402891
MGG_00052,0,95.4434311,174.7150765,82.31038979,71.40723959,50.47798959,65.63564298,58.05050742
MGG_00081,0,300.2070901,4476.392879,4061.600175,2184.879718,4694.191659,2698.971806,1639.765261
MGG_00148,0,0,1.932886308,2.86559966,5.289715717,2.337441077,0.73343258,0
MGG_00225,0,0,0,0,6.41044381,82.40689609,101.3769781,56.85172282
MGG_00230,0,0,1.906693422,1294.227093,1127.401151,125.126825,147.8140418,126.0122635
MGG_00245,0,99.45136583,42.75774592,71.91836506,88.94250901,7.752834732,12.89621614,16.17085299
MGG_00259,0,291.9670718,92.49818824,34.33641079,49.60390484,36.53576651,9.200216978,14.53714566
MGG_00269,0,0,1.181186192,0,1.080799871,3.391871918,0.763517881,0
MGG_00283,0,0.947533589,0,9.621258672,193.2436134,396.9415322,343.8688249,200.9639543
MGG_00380,0,3.719798545,0,7.389242792,12.84603939,0,0.330734751,0.534456665
MGG_00486,0,1.795471661,3.433666215,1.88571947,3.711679459,7.970543758,3.308983139,1.604625789
MGG_00488,0,51.41179537,55.76995566,58.26081429,87.19886177,60.8201308,40.01437241,46.14726439
MGG_00511,0,0.983936248,20.95894952,11.43467237,1.714006814,2.528584802,0.676147473,0.573498399
MGG_00565,0,4.549238291,0,0,5.932680653,9.158855053,11.53632871,0.935469373
MGG_00614,0,0,6.121427025,430.3819739,148.5244118,23.68403691,20.58766368,20.72067791
MGG_00619,0,16.79762278,11.49335757,11.70990249,0.330770884,7.140043018,26.50125601,11.93812135
MGG_00627,0,1.495852519,0.792035931,95.64020294,33.58908168,2.149114079,6.152798941,7.315277079
MGG_00629,0,2.018765751,1.65831559,4.162220868,0.666430008,0.747396365,1.284196232,0
MGG_00703,0,1.16865812,7.65897191,166.3700403,2385.488483,417.273127,395.3758024,330.234317
MGG_00734,0,2.758954254,8.159743529,59.76459337,7.580238107,10.03494295,14.61788735,8.96136688
MGG_00815,0,7.294688278,3.749598384,1.685395019,3.382424306,20.61874526,34.46100559,5.1575966
MGG_00816,0,5.015089659,1.127935506,4.735477123,3.946039687,7.072393717,3.713632088,0.641144546
